Item,Location,Min Quantity,Max Quantity,no of unit per box,threshould
101011000156,Riyadh,60.00 ,72.00 ,1,50
101011000160,Jeddah,36.00 ,45.00 ,1,50
101011000160,Riyadh,42.00 ,56.00 ,1,50
101011000161,Jeddah,50.00 ,69.00 ,1,50
101011000161,Riyadh,87.00 ,110.00 ,1,50
101011000162,Jeddah,139.00 ,180.00 ,1,50
101011000162,Riyadh,113.00 ,139.00 ,1,50
101011000163,Jeddah,133.00 ,175.00 ,1,50
101011000163,Riyadh,132.00 ,166.00 ,1,50
101011000166,Jeddah,216.00 ,270.00 ,1,50
101011000166,Riyadh,135.00 ,166.00 ,1,50
101011000167,Jeddah,239.00 ,310.00 ,1,50
101011000167,Riyadh,387.00 ,481.00 ,1,50
101011000170,Jeddah,93.00 ,132.00 ,1,50
101011000170,Riyadh,"1,197.00 ","1,461.00 ",1,50
101011000173,Jeddah,14.00 ,19.00 ,1,50
101011000173,Riyadh,712.00 ,925.00 ,1,50
101011000177,Jeddah,86.00 ,129.00 ,1,50
101011000177,Riyadh,"1,121.00 ","1,355.00 ",1,50
101011000178,Jeddah,116.00 ,147.00 ,1,50
101011000178,Riyadh,122.00 ,161.00 ,1,50
101011000179,Jeddah,6.00 ,8.00 ,1,50
101011000179,Riyadh,5.00 ,7.00 ,1,50
101011000180,Jeddah,"1,082.00 ","1,427.00 ",1,50
101011000180,Riyadh,"1,081.00 ","1,295.00 ",1,50
101011000181,Jeddah,3.00 ,4.00 ,1,50
101011000181,Riyadh,43.00 ,53.00 ,1,50
101011000182,Jeddah,46.00 ,71.00 ,1,50
101011000182,Riyadh,315.00 ,390.00 ,1,50
101011000184,Jeddah,43.00 ,59.00 ,1,50
101011000184,Riyadh,940.00 ,"1,162.00 ",1,50
101011000189,Jeddah,31.00 ,39.00 ,1,50
101011000189,Riyadh,540.00 ,680.00 ,1,50
101011000190,Jeddah,41.00 ,53.00 ,1,50
101011000190,Riyadh,36.00 ,44.00 ,1,50
101011000196,Jeddah,46.00 ,61.00 ,1,50
101011000196,Riyadh,238.00 ,319.00 ,1,50
101011000198,Jeddah,14.00 ,21.00 ,1,50
101011000198,Riyadh,62.00 ,74.00 ,1,50
101011000206,Jeddah,92.00 ,125.00 ,1,50
101011000206,Riyadh,71.00 ,91.00 ,1,50
101011000207,Jeddah,54.00 ,69.00 ,1,50
101011000207,Riyadh,18.00 ,22.00 ,1,50
101011000209,Jeddah,2.00 ,2.00 ,1,50
101011000210,Jeddah,191.00 ,240.00 ,1,50
101011000210,Riyadh,231.00 ,296.00 ,1,50
101011000212,Jeddah,97.00 ,125.00 ,1,50
101011000212,Riyadh,474.00 ,579.00 ,1,50
101011000219,Jeddah,447.00 ,613.00 ,1,50
101011000219,Riyadh,984.00 ,"1,202.00 ",1,50
101011000229,Jeddah,2.00 ,3.00 ,1,50
101011000230,Jeddah,2.00 ,4.00 ,1,50
101011000231,Jeddah,108.00 ,141.00 ,1,50
101011000231,Riyadh,268.00 ,324.00 ,1,50
101011000234,Jeddah,35.00 ,50.00 ,1,50
101011000234,Riyadh,130.00 ,156.00 ,1,50
101011000235,Jeddah,202.00 ,281.00 ,1,50
101011000235,Riyadh,540.00 ,659.00 ,1,50
101011000241,Jeddah,10.00 ,14.00 ,1,50
101011000241,Riyadh,67.00 ,87.00 ,1,50
101011000247,Jeddah,184.00 ,232.00 ,1,50
101011000247,Riyadh,290.00 ,350.00 ,1,50
101011000249,Jeddah,215.00 ,281.00 ,1,50
101011000249,Riyadh,"1,002.00 ","1,258.00 ",1,50
101011000250,Jeddah,15.00 ,22.00 ,1,50
101011000250,Riyadh,154.00 ,192.00 ,1,50
101011000252,Jeddah,41.00 ,55.00 ,1,50
101011000252,Riyadh,160.00 ,204.00 ,1,50
101011000260,Jeddah,339.00 ,474.00 ,1,50
101011000260,Riyadh,642.00 ,794.00 ,1,50
101011000263,Jeddah,1.00 ,1.00 ,1,50
101011000267,Jeddah,858.00 ,"1,166.00 ",1,50
101011000267,Riyadh,"1,805.00 ","2,211.00 ",1,50
101011000268,Jeddah,110.00 ,153.00 ,1,50
101011000268,Riyadh,169.00 ,219.00 ,1,50
101011000273,Jeddah,20.00 ,25.00 ,1,50
101011000273,Riyadh,20.00 ,25.00 ,1,50
101011000279,Jeddah,23.00 ,29.00 ,1,50
101011000279,Riyadh,31.00 ,37.00 ,1,50
101011000283,Jeddah,20.00 ,25.00 ,1,50
101011000283,Riyadh,345.00 ,418.00 ,1,50
101011000284,Jeddah,6.00 ,7.00 ,1,50
101011000284,Riyadh,14.00 ,18.00 ,1,50
101011000287,Jeddah,23.00 ,28.00 ,1,50
101011000287,Riyadh,25.00 ,33.00 ,1,50
101011000289,Jeddah,4.00 ,6.00 ,1,50
101011000289,Riyadh,69.00 ,83.00 ,1,50
101011000299,Jeddah,27.00 ,35.00 ,1,50
101011000299,Riyadh,49.00 ,60.00 ,1,50
101011000302,Jeddah,3.00 ,4.00 ,1,50
101011000302,Riyadh,1.00 ,1.00 ,1,50
101011000304,Jeddah,1.00 ,1.00 ,1,50
101011000305,Jeddah,17.00 ,22.00 ,1,50
101011000305,Riyadh,44.00 ,53.00 ,1,50
101011000306,Jeddah,87.00 ,119.00 ,1,50
101011000306,Riyadh,168.00 ,204.00 ,1,50
101011000308,Jeddah,1.00 ,1.00 ,1,50
101011000310,Jeddah,3.00 ,4.00 ,1,50
101011000310,Riyadh,32.00 ,38.00 ,1,50
101011000311,Jeddah,24.00 ,31.00 ,1,50
101011000311,Riyadh,41.00 ,52.00 ,1,50
101011000316,Jeddah,76.00 ,104.00 ,1,50
101011000316,Riyadh,287.00 ,347.00 ,1,50
101011000319,Jeddah,376.00 ,538.00 ,1,50
101011000319,Riyadh,319.00 ,399.00 ,1,50
101011000321,Jeddah,315.00 ,415.00 ,1,50
101011000321,Riyadh,"1,135.00 ","1,403.00 ",1,50
101011000322,Jeddah,14.00 ,18.00 ,1,50
101011000322,Riyadh,81.00 ,109.00 ,1,50
101011000325,Jeddah,323.00 ,444.00 ,1,50
101011000325,Riyadh,430.00 ,525.00 ,1,50
101011000326,Jeddah,55.00 ,74.00 ,1,50
101011000328,Jeddah,8.00 ,11.00 ,1,50
101011000328,Riyadh,54.00 ,66.00 ,1,50
101011000329,Jeddah,2.00 ,2.00 ,1,50
101011000329,Riyadh,8.00 ,10.00 ,1,50
101011000332,Jeddah,25.00 ,36.00 ,1,50
101011000332,Riyadh,67.00 ,90.00 ,1,50
101011000334,Jeddah,11.00 ,14.00 ,1,50
101011000334,Riyadh,147.00 ,182.00 ,1,50
101011000335,Jeddah,850.00 ,"1,168.00 ",1,50
101011000335,Riyadh,"1,069.00 ","1,288.00 ",1,50
101011000336,Jeddah,36.00 ,48.00 ,1,50
101011000336,Riyadh,38.00 ,47.00 ,1,50
101011000337,Jeddah,12.00 ,16.00 ,1,50
101011000337,Riyadh,119.00 ,143.00 ,1,50
101011000338,Jeddah,11.00 ,14.00 ,1,50
101011000338,Riyadh,8.00 ,10.00 ,1,50
101011000340,Jeddah,"1,166.00 ","1,493.00 ",1,50
101011000340,Riyadh,"1,519.00 ","1,821.00 ",1,50
101011000342,Jeddah,328.00 ,476.00 ,1,50
101011000342,Riyadh,960.00 ,"1,171.00 ",1,50
101011000343,Jeddah,8.00 ,11.00 ,1,50
101011000343,Riyadh,178.00 ,213.00 ,1,50
101011000344,Jeddah,129.00 ,173.00 ,1,50
101011000345,Jeddah,19.00 ,24.00 ,1,50
101011000345,Riyadh,201.00 ,241.00 ,1,50
101011000346,Jeddah,3.00 ,4.00 ,1,50
101011000346,Riyadh,4.00 ,4.00 ,1,50
101011000347,Jeddah,1.00 ,1.00 ,1,50
101011000350,Jeddah,406.00 ,537.00 ,1,50
101011000350,Riyadh,"2,583.00 ","3,166.00 ",1,50
101011000352,Jeddah,49.00 ,67.00 ,1,50
101011000352,Riyadh,194.00 ,244.00 ,1,50
101011000355,Jeddah,2.00 ,2.00 ,1,50
101011000360,Jeddah,30.00 ,40.00 ,1,50
101011000360,Riyadh,54.00 ,70.00 ,1,50
101011000361,Jeddah,12.00 ,15.00 ,1,50
101011000361,Riyadh,5.00 ,6.00 ,1,50
101011000370,Jeddah,24.00 ,29.00 ,1,50
101011000372,Jeddah,2.00 ,3.00 ,1,50
101011000372,Riyadh,14.00 ,17.00 ,1,50
101011000374,Jeddah,97.00 ,123.00 ,1,50
101011000374,Riyadh,334.00 ,407.00 ,1,50
101011000375,Jeddah,3.00 ,4.00 ,1,50
101011000375,Riyadh,1.00 ,1.00 ,1,50
101011000377,Jeddah,38.00 ,47.00 ,1,50
101011000377,Riyadh,43.00 ,53.00 ,1,50
101011000382,Jeddah,619.00 ,795.00 ,1,50
101011000382,Riyadh,"1,486.00 ","1,794.00 ",1,50
101011000386,Jeddah,130.00 ,170.00 ,1,50
101011000386,Riyadh,463.00 ,584.00 ,1,50
101011000391,Jeddah,100.00 ,132.00 ,1,50
